date,region,count-nombre
2020-10-04,AB,0
2020-10-04,BC,0
2020-10-04,MB,0
2020-10-04,NB,0
2020-10-04,NL,0
2020-10-04,NT,0
2020-10-04,NS,0
2020-10-04,NU,0
2020-10-04,ON,0
2020-10-04,PE,0
2020-10-04,QC,0
2020-10-04,SK,0
2020-10-04,YT,0
2020-10-04,npts-ptso,2
2020-10-11,AB,0
2020-10-11,BC,0
2020-10-11,MB,0
2020-10-11,NB,6
2020-10-11,NL,0
2020-10-11,NT,0
2020-10-11,NS,0
2020-10-11,NU,0
2020-10-11,ON,8
2020-10-11,PE,0
2020-10-11,QC,0
2020-10-11,SK,0
2020-10-11,YT,0
2020-10-11,npts-ptso,237
2020-10-18,AB,0
2020-10-18,BC,0
2020-10-18,MB,0
2020-10-18,NB,0
2020-10-18,NL,0
2020-10-18,NT,0
2020-10-18,NS,0
2020-10-18,NU,0
2020-10-18,ON,1
2020-10-18,PE,0
2020-10-18,QC,0
2020-10-18,SK,0
2020-10-18,YT,0
2020-10-18,npts-ptso,63
2020-10-25,AB,0
2020-10-25,BC,0
2020-10-25,MB,0
2020-10-25,NB,2
2020-10-25,NL,0
2020-10-25,NT,0
2020-10-25,NS,0
2020-10-25,NU,0
2020-10-25,ON,0
2020-10-25,PE,0
2020-10-25,QC,0
2020-10-25,SK,0
2020-10-25,YT,0
2020-10-25,npts-ptso,110
2020-11-01,AB,0
2020-11-01,BC,0
2020-11-01,MB,0
2020-11-01,NB,0
2020-11-01,NL,0
2020-11-01,NT,0
2020-11-01,NS,0
2020-11-01,NU,0
2020-11-01,ON,1
2020-11-01,PE,0
2020-11-01,QC,0
2020-11-01,SK,0
2020-11-01,YT,0
2020-11-01,npts-ptso,74
2020-11-08,AB,0
2020-11-08,BC,0
2020-11-08,MB,2
2020-11-08,NB,1
2020-11-08,NL,0
2020-11-08,NT,0
2020-11-08,NS,0
2020-11-08,NU,0
2020-11-08,ON,1
2020-11-08,PE,0
2020-11-08,QC,0
2020-11-08,SK,0
2020-11-08,YT,0
2020-11-08,npts-ptso,62
2020-11-15,AB,0
2020-11-15,BC,0
2020-11-15,MB,31
2020-11-15,NB,0
2020-11-15,NL,0
2020-11-15,NT,0
2020-11-15,NS,0
2020-11-15,NU,0
2020-11-15,ON,0
2020-11-15,PE,0
2020-11-15,QC,0
2020-11-15,SK,0
2020-11-15,YT,0
2020-11-15,npts-ptso,175
2020-11-22,AB,0
2020-11-22,BC,0
2020-11-22,MB,3
2020-11-22,NB,0
2020-11-22,NL,0
2020-11-22,NT,0
2020-11-22,NS,0
2020-11-22,NU,0
2020-11-22,ON,1
2020-11-22,PE,0
2020-11-22,QC,0
2020-11-22,SK,0
2020-11-22,YT,0
2020-11-22,npts-ptso,218
2020-11-29,AB,0
2020-11-29,BC,0
2020-11-29,MB,0
2020-11-29,NB,0
2020-11-29,NL,0
2020-11-29,NT,0
2020-11-29,NS,0
2020-11-29,NU,0
2020-11-29,ON,2
2020-11-29,PE,0
2020-11-29,QC,0
2020-11-29,SK,0
2020-11-29,YT,0
2020-11-29,npts-ptso,98
2020-12-06,AB,0
2020-12-06,BC,0
2020-12-06,MB,0
2020-12-06,NB,0
2020-12-06,NL,0
2020-12-06,NT,0
2020-12-06,NS,0
2020-12-06,NU,0
2020-12-06,ON,2
2020-12-06,PE,0
2020-12-06,QC,0
2020-12-06,SK,0
2020-12-06,YT,0
2020-12-06,npts-ptso,45
2020-12-13,AB,0
2020-12-13,BC,0
2020-12-13,MB,0
2020-12-13,NB,1
2020-12-13,NL,0
2020-12-13,NT,0
2020-12-13,NS,0
2020-12-13,NU,0
2020-12-13,ON,0
2020-12-13,PE,0
2020-12-13,QC,0
2020-12-13,SK,0
2020-12-13,YT,0
2020-12-13,npts-ptso,50
2020-12-20,AB,0
2020-12-20,BC,0
2020-12-20,MB,0
2020-12-20,NB,0
2020-12-20,NL,0
2020-12-20,NT,0
2020-12-20,NS,0
2020-12-20,NU,0
2020-12-20,ON,1
2020-12-20,PE,0
2020-12-20,QC,0
2020-12-20,SK,0
2020-12-20,YT,0
2020-12-20,npts-ptso,2034
2020-12-27,AB,0
2020-12-27,BC,0
2020-12-27,MB,0
2020-12-27,NB,0
2020-12-27,NL,0
2020-12-27,NT,0
2020-12-27,NS,0
2020-12-27,NU,0
2020-12-27,ON,0
2020-12-27,PE,0
2020-12-27,QC,0
2020-12-27,SK,0
2020-12-27,YT,0
2020-12-27,npts-ptso,27
2021-01-03,AB,0
2021-01-03,BC,0
2021-01-03,MB,0
2021-01-03,NB,0
2021-01-03,NL,0
2021-01-03,NT,0
2021-01-03,NS,0
2021-01-03,NU,0
2021-01-03,ON,0
2021-01-03,PE,0
2021-01-03,QC,0
2021-01-03,SK,0
2021-01-03,YT,0
2021-01-03,npts-ptso,45
2021-01-10,AB,0
2021-01-10,BC,0
2021-01-10,MB,0
2021-01-10,NB,0
2021-01-10,NL,0
2021-01-10,NT,0
2021-01-10,NS,0
2021-01-10,NU,0
2021-01-10,ON,0
2021-01-10,PE,0
2021-01-10,QC,0
2021-01-10,SK,0
2021-01-10,YT,0
2021-01-10,npts-ptso,145
2021-01-17,AB,0
2021-01-17,BC,0
2021-01-17,MB,0
2021-01-17,NB,0
2021-01-17,NL,0
2021-01-17,NT,0
2021-01-17,NS,0
2021-01-17,NU,0
2021-01-17,ON,0
2021-01-17,PE,0
2021-01-17,QC,0
2021-01-17,SK,0
2021-01-17,YT,0
2021-01-17,npts-ptso,265
2021-01-24,AB,0
2021-01-24,BC,0
2021-01-24,MB,0
2021-01-24,NB,1
2021-01-24,NL,0
2021-01-24,NT,0
2021-01-24,NS,0
2021-01-24,NU,0
2021-01-24,ON,0
2021-01-24,PE,0
2021-01-24,QC,0
2021-01-24,SK,0
2021-01-24,YT,0
2021-01-24,npts-ptso,182
2021-01-31,AB,0
