date,os-se,app_version-version_appli,count-nombre
2021-02-28,android,1.2.1,<20
2021-02-28,ios,1.2.1,<20
2021-03-07,android,1.2.1,<20
2021-03-14,android,1.2.2,<20
2021-03-14,ios,1.2.2,<20
2021-03-28,android,1.2.2,<20
2021-03-28,android,1.2.4,22
2021-04-04,android,1.2.4,<20
2021-04-04,android,1.2.6,<20
2021-04-11,android,1.2.6,<20
2021-04-11,android,1.2.7,<20
2021-04-11,ios,1.2.7,<20
2021-04-18,android,1.2.7,<20
2021-05-02,android,1.2.0,<20
2021-05-02,android,1.2.8,<20
2021-05-02,android,1.2.9,<20
2021-05-02,ios,1.1.8,<20
2021-05-02,ios,1.2.0,<20
2021-05-02,ios,1.2.1,<20
2021-05-02,ios,1.2.9,<20
2021-05-09,android,1.1.8,<20
2021-05-09,android,1.2.0,<20
2021-05-09,android,1.2.8,<20
2021-05-09,android,1.2.9,20
2021-05-09,ios,1.1.8,<20
2021-05-09,ios,1.2.0,<20
2021-05-09,ios,1.2.8,<20
2021-05-09,ios,1.2.9,33
2021-05-09,ios,6.6.6,<20
2021-05-16,android,1.1.8,<20
2021-05-16,android,1.2.0,<20
2021-05-16,android,1.2.9,<20
2021-05-16,ios,1.1.8,<20
2021-05-16,ios,1.2.0,<20
2021-05-16,ios,1.2.9,34
2021-05-16,ios,6.6.6,<20
2021-05-23,android,1.2.0,<20
2021-05-23,android,1.2.8,<20
2021-05-23,android,1.2.9,<20
2021-05-23,android,1.2.10,<20
2021-05-23,ios,1.2.9,<20
2021-05-23,ios,1.2.10,<20
2021-05-30,android,1.1.8,<20
2021-05-30,ios,1.2.8,<20
2021-06-06,ios,1.2.9,<20
2021-06-06,ios,1.2.10,<20
2021-06-13,ios,1.1.8,<20
2021-06-13,ios,2.0.0,<20
2021-06-20,android,1.1.8,<20
2021-06-20,android,2.0.0,<20
2021-06-20,ios,1.1.8,<20
2021-06-20,ios,1.2.10,<20
2021-06-20,ios,2.0.0,<20
2021-06-27,android,1.1.8,<20
2021-06-27,android,1.2.8,<20
2021-06-27,android,2.0.0,39
2021-06-27,ios,1.1.8,<20
2021-06-27,ios,2.0.0,31
2021-07-04,android,2.0.0,20
2021-07-04,ios,2.0.0,<20
2021-07-11,android,2.0.0,<20
2021-07-11,ios,2.0.0,<20
2021-07-18,ios,2.0.0,<20
2021-08-01,android,1.2.8,<20
2021-08-01,android,2.0.0,<20
2021-08-01,ios,1.2.8,<20
2021-08-01,ios,2.0.0,<20
2021-08-08,android,1.1.1,<20
2021-08-08,android,1.2.8,<20
2021-08-08,android,1.5.0,24
2021-08-08,android,1.5.1,<20
2021-08-08,android,1.5.2,<20
2021-08-08,android,2.0.0,<20
2021-08-08,ios,1.5.1,49
2021-08-15,android,1.5.0,<20
2021-08-15,android,1.5.2,<20
2021-08-15,android,1.5.3,<20
2021-08-15,android,2.0.0,<20
2021-08-15,ios,1.1.1,<20
2021-08-15,ios,1.5.3,<20
2021-08-22,ios,1.1.8,<20
2021-08-22,ios,1.5.1,<20
2021-08-22,ios,2.0.0,<20
2021-08-29,ios,1.1.8,<20
2021-08-29,ios,1.5.3,<20
2021-08-29,ios,2.0.0,<20
2021-09-19,ios,1.5.3,<20
2021-09-26,android,1.1.1,<20
